time,x,y,theta
1758513401.7135968,-0.035,-0.163,-183.698
1758513401.814723,-0.037,-0.166,-184.449
1758513401.913708,-0.04,-0.166,-185.178
1758513402.014739,-0.043,-0.164,-185.875
1758513402.1147149,-0.044,-0.161,-186.568
1758513402.2147882,-0.043,-0.158,-187.267
1758513402.31478,-0.04,-0.156,-187.969
1758513402.414759,-0.036,-0.156,-188.659
1758513402.514774,-0.033,-0.16,-189.34
1758513402.614217,-0.033,-0.163,-190.015
1758513402.7137432,-0.035,-0.164,-190.693
1758513402.814333,-0.037,-0.165,-191.371
1758513402.914708,-0.04,-0.164,-192.043
1758513403.0147479,-0.041,-0.161,-192.69
1758513403.1137102,-0.041,-0.159,-193.335
1758513403.2147279,-0.039,-0.158,-193.956
1758513403.3147268,-0.038,-0.157,-194.606
1758513403.414657,-0.036,-0.158,-195.269
1758513403.5146859,-0.035,-0.16,-195.956
1758513403.614636,-0.036,-0.163,-196.661
1758513403.71469,-0.038,-0.164,-197.363
1758513403.814661,-0.041,-0.164,-198.075
1758513403.914708,-0.042,-0.163,-198.786
1758513404.014682,-0.042,-0.162,-199.491
1758513404.114696,-0.04,-0.159,-200.187
1758513404.214698,-0.036,-0.158,-200.877
1758513404.3147311,-0.034,-0.16,-201.549
1758513404.414695,-0.033,-0.162,-202.203
1758513404.5146902,-0.033,-0.164,-202.872
1758513404.614666,-0.034,-0.165,-203.541
1758513404.714666,-0.036,-0.165,-204.197
1758513404.8146508,-0.038,-0.163,-204.866
1758513404.914659,-0.038,-0.162,-205.517
1758513405.014653,-0.037,-0.16,-206.18
1758513405.11463,-0.036,-0.159,-206.849
1758513405.214645,-0.033,-0.159,-207.533
1758513405.314635,-0.03,-0.162,-208.232
1758513405.414624,-0.03,-0.165,-208.943
1758513405.514634,-0.033,-0.168,-209.654
1758513405.614495,-0.036,-0.168,-210.375
1758513405.714616,-0.039,-0.167,-211.089
1758513405.8145869,-0.039,-0.164,-211.806
1758513405.9145799,-0.038,-0.16,-212.499
1758513406.013699,-0.034,-0.159,-213.177
1758513406.113612,-0.032,-0.159,-213.852
1758513406.214564,-0.029,-0.162,-214.512
1758513406.3145962,-0.029,-0.165,-215.148
1758513406.4137,-0.031,-0.168,-215.777
1758513406.514577,-0.033,-0.169,-216.419
1758513406.614462,-0.036,-0.168,-217.066
1758513406.714559,-0.037,-0.166,-217.717
1758513406.8145359,-0.037,-0.163,-218.392
1758513406.9145658,-0.034,-0.16,-219.067
1758513407.014556,-0.031,-0.159,-219.754
1758513407.114534,-0.027,-0.161,-220.45
1758513407.214564,-0.026,-0.165,-221.158
1758513407.314532,-0.027,-0.167,-221.876
1758513407.414531,-0.03,-0.169,-222.581
1758513407.514553,-0.032,-0.168,-223.286
1758513407.614496,-0.033,-0.167,-223.97
1758513407.7145228,-0.033,-0.163,-224.636
1758513407.8145301,-0.031,-0.161,-225.305
1758513407.91453,-0.028,-0.16,-225.962
1758513408.014498,-0.026,-0.161,-226.609
1758513408.1145,-0.024,-0.164,-227.26
1758513408.214507,-0.025,-0.166,-227.914
1758513408.314547,-0.026,-0.168,-228.571
1758513408.4145012,-0.029,-0.168,-229.239
1758513408.514507,-0.032,-0.166,-229.923
1758513408.614474,-0.033,-0.162,-230.61
1758513408.7144709,-0.032,-0.159,-231.291
1758513408.8144798,-0.029,-0.157,-231.915
1758513408.914476,-0.032,-0.157,-232.426
1758513409.014462,-0.036,-0.155,-232.917
1758513409.114464,-0.036,-0.155,-233.522
1758513409.214478,-0.036,-0.158,-234.191
1758513409.314451,-0.039,-0.161,-234.872
1758513409.414444,-0.042,-0.161,-235.547
1758513409.5144372,-0.044,-0.16,-236.237
1758513409.614423,-0.045,-0.157,-236.924
1758513409.7144299,-0.044,-0.155,-237.59
1758513409.814419,-0.042,-0.154,-238.256
1758513409.9144151,-0.041,-0.155,-238.909
1758513410.01439,-0.04,-0.156,-239.56
1758513410.114414,-0.039,-0.158,-240.217
1758513410.214425,-0.04,-0.16,-240.886
1758513410.3144279,-0.043,-0.161,-241.579
1758513410.4144268,-0.046,-0.16,-242.275
1758513410.51441,-0.047,-0.157,-242.971
1758513410.614382,-0.046,-0.153,-243.67
1758513410.714389,-0.044,-0.151,-244.369
1758513410.81438,-0.04,-0.151,-245.062
1758513410.914382,-0.037,-0.153,-245.755
1758513411.014436,-0.036,-0.156,-246.427
1758513411.114379,-0.037,-0.158,-247.096
1758513411.21436,-0.04,-0.159,-247.777
1758513411.314239,-0.041,-0.158,-248.449
1758513411.414366,-0.043,-0.157,-249.115
1758513411.5143511,-0.043,-0.155,-249.778
1758513411.614348,-0.041,-0.153,-250.447
1758513411.714356,-0.039,-0.152,-251.106
1758513411.814377,-0.037,-0.153,-251.757
1758513411.914347,-0.036,-0.156,-252.426
1758513412.0143502,-0.037,-0.159,-253.113
1758513412.1143239,-0.04,-0.162,-253.803
1758513412.214349,-0.044,-0.162,-254.499
1758513412.314338,-0.047,-0.159,-255.192
1758513412.414316,-0.047,-0.156,-255.894
1758513412.514325,-0.046,-0.153,-256.578
1758513412.614353,-0.042,-0.152,-257.244
1758513412.714317,-0.038,-0.153,-257.898
1758513412.8143091,-0.036,-0.156,-258.573
1758513412.9143062,-0.036,-0.159,-259.251
1758513413.014327,-0.038,-0.161,-259.926
1758513413.114285,-0.041,-0.162,-260.592
1758513413.214314,-0.044,-0.16,-261.258
1758513413.3142662,-0.045,-0.157,-261.93
1758513413.4143019,-0.044,-0.154,-262.595
1758513413.514273,-0.041,-0.151,-263.273
1758513413.614264,-0.036,-0.151,-263.96
1758513413.71425,-0.033,-0.155,-264.66
1758513413.814241,-0.033,-0.159,-265.353
1758513413.9142652,-0.035,-0.163,-266.049
1758513414.014233,-0.039,-0.164,-266.745
1758513414.113888,-0.043,-0.162,-267.444
1758513414.214232,-0.045,-0.159,-268.143
1758513414.314251,-0.044,-0.156,-268.824
1758513414.414232,-0.042,-0.154,-269.493
1758513414.514246,-0.04,-0.154,-270.165
1758513414.614193,-0.037,-0.156,-270.809
1758513414.714231,-0.036,-0.159,-271.457
1758513414.814222,-0.037,-0.161,-272.108
1758513414.9142,-0.04,-0.163,-272.765
1758513415.013674,-0.042,-0.162,-273.415
1758513415.114214,-0.045,-0.16,-274.09
1758513415.213977,-0.045,-0.157,-274.786
1758513415.314156,-0.043,-0.154,-275.501
1758513415.4141572,-0.039,-0.153,-276.212
1758513415.514171,-0.036,-0.155,-276.926
1758513415.6141498,-0.034,-0.159,-277.628
1758513415.7141812,-0.036,-0.163,-278.327
1758513415.8142002,-0.038,-0.165,-279.03
1758513415.914172,-0.042,-0.164,-279.705
1758513416.0141492,-0.043,-0.163,-280.376
1758513416.114177,-0.044,-0.16,-281.051
1758513416.214154,-0.042,-0.158,-281.717
1758513416.3141818,-0.04,-0.157,-282.377
1758513416.414138,-0.038,-0.158,-283.031
1758513416.514128,-0.037,-0.159,-283.688
1758513416.614121,-0.037,-0.16,-284.363
1758513416.7141209,-0.038,-0.161,-285.031
1758513416.8263922,-0.041,-0.162,-285.697
1758513416.9141288,-0.044,-0.161,-286.378
1758513417.014092,-0.045,-0.158,-287.071
1758513417.114103,-0.044,-0.155,-287.764
1758513417.2140968,-0.042,-0.154,-288.461
1758513417.314098,-0.04,-0.155,-289.157
1758513417.4140701,-0.037,-0.157,-289.841
1758513417.514097,-0.037,-0.16,-290.516
1758513417.614096,-0.038,-0.163,-291.181
1758513417.7140942,-0.04,-0.163,-291.853
1758513417.8138728,-0.042,-0.163,-292.522
1758513417.9140868,-0.042,-0.162,-293.176
1758513418.014064,-0.042,-0.164,-293.821
1758513418.114069,-0.044,-0.166,-294.438
1758513418.2140732,-0.046,-0.166,-295.062
